category,partner,location,books_distributed
Head Start LFL,EBCI,EBCI: Qualla Boundary Head Start,838
Head Start LFL,Lumbee,Lumbee: Pembroke Head Start,3259
Head Start LFL,NC,NC: Lame Deer Head Start,80
Head Start LFL,SDP,SDP: Santo Domingo Pueblo Head Start,10100
Head Start LFL,Yurok,Yurok: Ke'pel Head Start,531
Head Start LFL,ALL,TOTAL,14808
Elementary School LFL,EBCI,EBCI: Cherokee Elementary School,2860
Elementary School LFL,Lumbee,Lumbee: Pembroke Elementary School,3366
Elementary School LFL,NC,NC: Lame Deer Elementary School,5950
Elementary School LFL,SDP,SDP: Santo Domingo Elementary School,653
Elementary School LFL,Yurok,Yurok: O Me-nok Learning Center,603
Elementary School LFL,ALL,TOTAL,13432
Public/Tribal Library or Community LFL,EBCI,EBCI: Snowbird Community Library,778
Public/Tribal Library or Community LFL,Lumbee,Lumbee: Pembroke Boys & Girls Club,2944
Public/Tribal Library or Community LFL,NC,NC: Woodenlegs Library,637
Public/Tribal Library or Community LFL,SDP,SDP: Santo Domingo Pueblo Public Library,760
Public/Tribal Library or Community LFL,Yurok,Yurok: Boys & Girls Club LFL,72
Public/Tribal Library or Community LFL,ALL,TOTAL,5191
Free Book Fairs / Book Giveaways,EBCI,EBCI,3025
Free Book Fairs / Book Giveaways,Lumbee,Lumbee,2741
Free Book Fairs / Book Giveaways,NC,NC,2935
Free Book Fairs / Book Giveaways,SDP,SDP,1600
Free Book Fairs / Book Giveaways,Yurok,Yurok,8277
Free Book Fairs / Book Giveaways,ALL,TOTAL,18578
Take Home Cardboard Library Boxes and Stickers,EBCI,EBCI,560
Take Home Cardboard Library Boxes and Stickers,Lumbee,Lumbee,400
Take Home Cardboard Library Boxes and Stickers,NC,NC,400
Take Home Cardboard Library Boxes and Stickers,SDP,SDP,400
Take Home Cardboard Library Boxes and Stickers,Yurok,Yurok,216
Take Home Cardboard Library Boxes and Stickers,ALL,TOTAL,1976
