location_key,location_name,partner,ecosystem_type,children_served,enrollment_period,books_distributed,pct_of_ecosystem_books,lfl_boxes,books_read_total,replenishment_books_read,books_in_circulation,total_book_activity,participants_met_minimum,circulation_numeric,circulation_period,circulation_raw,program_attendance,visitation_numeric,visitation_raw,latitude,longitude,dissemination_categories,notes
ebci_cherokee_elem,Cherokee Elementary School,EBCI,Elementary School,710.0,2023-24,2860.0,8.6,,13572.0,13572.0,4112.0,17684.0,539.0,4112.0,2023-24,4112,,125.0,"125-150 independent visits/week
500ish students in class visits/week",35.485,-83.3165,Elementary School LFL,Includes school library program
ebci_qualla_hs,Qualla Boundary Head Start,EBCI,Preschool/Head Start,27.0,2023-24,838.0,2.5,,,,,,,,,,,,,35.4771,-83.3206,Head Start LFL,Update children/LFL counts with Sara & Gaby; coords approximate
ebci_snowbird_lib,Snowbird Community Library,EBCI,Public/Community Library,,,778.0,2.3,,,,,,,,,,,,,35.4896,-83.7436,Public/Tribal Library or Community LFL,Tribal community library
lumbee_pembroke_elem,Pembroke Elementary School,Lumbee,Elementary School,718.0,2023-24,3366.0,10.1,,2420.0,2420.0,11338.0,13758.0,121.0,11338.0,2023-24,11338,,,,34.68,-79.195,Elementary School LFL,
lumbee_pembroke_hs,Pembroke Head Start,Lumbee,Preschool/Head Start,59.0,2023-24,3259.0,9.7,,,,,,,,,,,,,34.68,-79.195,Head Start LFL,
lumbee_robeson_lib,Robeson Public Library,Lumbee,Public/Community Library,,,2944.0,8.8,,,,13171.0,13171.0,,13171.0,2023-24,"13,171 total / 7,875 youth (through June 14) ",40 programs offered / 120 attendees (through May) ,6308.0,6308,34.68,-79.195,Public/Tribal Library or Community LFL,Also listed as Pembroke Boys & Girls Club in dissemination
nc_lame_deer_elem,Lame Deer Elementary School,NC,Elementary School,280.0,2023-24,5950.0,17.8,,,,280.0,280.0,,280.0,2023-24,280,,380.0,380,45.623,-106.678,Elementary School LFL,
nc_lame_deer_hs,Lame Deer Head Start,NC,Preschool/Head Start,94.0,2023-24,80.0,0.2,,,,,,,,,,,,,45.623,-106.678,Head Start LFL,
nc_woodenlegs_lib,Woodenlegs Library,NC,Tribal Library,,,637.0,1.9,,154.0,154.0,2102.0,2256.0,15.0,2102.0,2023-24,2102,450,1620.0,1620*,45.623,-106.678,Public/Tribal Library or Community LFL,
sdp_santo_elem,Santo Domingo Elementary School,SDP,Elementary School,218.0,2023-24,653.0,2.0,,,,,,,,2023-24,*,,,,35.5147,-106.359,Elementary School LFL,
sdp_santo_hs,Santo Domingo Pueblo Head Start,SDP,Preschool/Head Start,137.0,2023-24,10100.0,30.2,,,,,,,,,,,,,35.5147,-106.359,Head Start LFL,
sdp_santo_pub_lib,Santo Domingo Pueblo Public Library,SDP,Public/Community Library,,,760.0,2.3,,,,2059.0,2059.0,,2059.0,2020-21,2059,,,,35.5147,-106.359,Public/Tribal Library or Community LFL,
yurok_bgc_lfl,Yurok Boys & Girls Club LFL,Yurok,Community Program,,,72.0,0.2,,,,,,,,,,,,,41.756,-124.201,Public/Tribal Library or Community LFL,
yurok_omenok,O Me-nok Learning Center,Yurok,Elementary School,94.0,2023-24,603.0,1.8,,,,2298.0,2298.0,,2298.0,2023-24,2298,,,,41.756,-124.201,Elementary School LFL,
yurok_kepel_hs,Ke'pel Head Start,Yurok,Preschool/Head Start,29.0,2023-24,531.0,1.6,,420.0,420.0,,420.0,9.0,,,,,,,41.756,-124.201,Head Start LFL,
yurok_del_norte_lib,Del Norte Public Library,Yurok,Public/Community Library,,,,,,,,26847.0,26847.0,,26847.0,2023-24,26847,1964,3130.0,3130,41.756,-124.201,,
