section,school_year,partner,metric,value,student_count
K-Reading Readiness Scores,Fall 2023,Lumbee,# of students,0.08,112
K-Reading Readiness Scores,Fall 2023,NC,# of students,,35
K-Reading Readiness Scores,Fall 2023,SDP,# of students,0.2,7
K-Reading Readiness Scores,Fall 2023,Yurok,# of students,0.61,26
K-Reading Readiness Scores,Fall 2022,EBCI,# of students,82% of Kindergarteners were well below the benchmark,
K-Reading Readiness Scores,Fall 2022,Lumbee,# of students,0.11,97
K-Reading Readiness Scores,Fall 2022,SDP,# of students,0.1904761905,8
K-Reading Readiness Scores,Fall 2021,EBCI,# of students,87% of Kindergartners were well below the benchmark,
K-Reading Readiness Scores,Fall 2021,Lumbee,# of students,22.5,
K-Reading Readiness Scores,Fall 2021,SDP,# of students,0.2558139535,11
K-Reading Readiness Scores,Fall 2020,Lumbee,# of students,*,
K-Reading Readiness Scores,Fall 2020,SDP,# of students,0.5333333333,16
K-Reading Readiness Scores,Fall 2019,Lumbee,# of students,58.5,
K-Reading Readiness Scores,Fall 2019,SDP,# of students,0.2391304348,11
K-Reading Readiness Scores,Fall 2018,Lumbee,# of students,15.8,
K-Reading Readiness Scores,Fall 2017,Lumbee,# of students,27.5,
4th Grade Reading Scores,Fall 2023,NC,OTHER,,31
4th Grade Reading Scores,Fall 2023,SDP,# of students,0.1875,6
4th Grade Reading Scores,Fall 2022,NC,OTHER,,33
4th Grade Reading Scores,Fall 2022,SDP,# of students,0.125,5
4th Grade Reading Scores,Fall 2022,Yurok,# of students,0.13,16
4th Grade Reading Scores,Fall 2021,NC,OTHER,,39
4th Grade Reading Scores,Fall 2021,SDP,# of students,0.1951219512,8
4th Grade Reading Scores,Fall 2020,NC,OTHER,196,
4th Grade Reading Scores,Fall 2020,SDP,# of students,0.3181818182,7
4th Grade Reading Scores,Fall 2019,EBCI,# of students,196,
4th Grade Reading Scores,Fall 2019,Lumbee,# of students,200,
4th Grade Reading Scores,Fall 2019,NC,OTHER,198,
4th Grade Reading Scores,Fall 2019,SDP,# of students,193,
4th Grade Reading Scores,Fall 2018,EBCI,# of students,194,
4th Grade Reading Scores,Fall 2018,Lumbee,# of students,199,
4th Grade Reading Scores,Fall 2018,NC,OTHER,198,
4th Grade Reading Scores,Fall 2017,EBCI,# of students,199,
4th Grade Reading Scores,Fall 2017,NC,OTHER,194,
4th Grade Reading Scores,Fall 2017,SDP,# of students,189,
4th Grade End of Grade Test Results,Fall 2019,EBCI,GLP,No Data,No Data
4th Grade End of Grade Test Results,Fall 2018,EBCI,GLP,27,42.6
4th Grade End of Grade Test Results,Fall 2017,EBCI,GLP,29.1,42.7
